""	"Gene"	"GSM6160812"	"GSM6160813"	"GSM6160814"	"GSM6160821"	"GSM6160822"	"GSM6160823"
"15881"	"MIR182"	0	0	0	0	0	0
"15882"	"MIR96"	0	0	0	0	0	0
"15883"	"MIR183"	0	0	0	0	0	0
"15884"	"UBE2H"	7791	6955	6934	7371	7520	7625
"15885"	"ZC3HC1"	1056	1072	1107	1027	1157	1079
"15886"	"KLHDC10"	2183	2132	2112	2246	2286	2266
"15887"	"LINC03008"	0	0	0	0	0	0
"15888"	"TMEM209"	1563	1482	1546	1530	1571	1632
"15889"	"SSMEM1"	5	3	4	13	4	1
"15890"	"CPA2"	0	0	2	0	2	2
"15891"	"CPA4"	105	115	101	97	123	93
"15892"	"LOC105375503"	2	5	2	2	2	2
"15893"	"CPA5"	0	4	0	4	0	2
"15894"	"LOC105375504"	0	0	0	0	0	0
"15895"	"CPA1"	0	0	0	0	0	0
"15896"	"CEP41"	1062	1087	1115	989	891	897
"15897"	"LOC105375505"	0	0	0	0	0	0
"15898"	"MEST"	2339	2213	2206	2125	2010	2414
"15899"	"MESTIT1"	6	2	0	4	4	1
"15900"	"MIR335"	0	0	0	0	0	0
"15901"	"COPG2"	1834	1887	1904	1655	1789	1633
"15902"	"COPG2IT1"	7	20	9	2	12	8
"15903"	"TSGA13"	19	19	24	22	23	20
"15904"	"KLF14"	0	0	0	0	0	0
"15905"	"LOC105375508"	0	0	2	1	1	2
"15906"	"LOC105375509"	0	0	0	0	1	0
"15907"	"MIR29A"	2	1	1	0	0	0
"15908"	"MIR29B1"	0	0	0	0	0	0
"15909"	"LINC-PINT"	485	545	509	629	669	638
"15910"	"LINC00513"	127	125	96	100	74	81
"15911"	"MKLN1"	4169	3545	3521	3466	3740	3833
"15912"	"MKLN1-AS"	227	231	283	226	257	238
"15913"	"PODXL"	1874	1765	1632	3082	3140	3347
"15914"	"LOC107986849"	0	0	0	0	0	0
"15915"	"LOC101928782"	0	0	0	0	0	3
"15916"	"PLXNA4"	30	41	40	212	238	186
"15917"	"LOC101928807"	0	0	0	0	0	0
"15918"	"LOC105375511"	0	0	0	0	0	0
"15919"	"LOC102724906"	0	0	0	0	0	0
"15920"	"FLJ40288"	0	0	0	0	0	0
"15921"	"LOC100506937"	0	0	0	0	0	0
"15922"	"CHCHD3"	4185	4092	4221	3857	3923	4128
"15923"	"MIR3654"	1244	1321	1330	1172	1203	1235
"15924"	"LOC105375512"	0	0	0	0	0	0
"15925"	"EXOC4"	3103	2858	2876	2808	2773	2834
"15926"	"MIR6133"	0	0	0	0	0	0
"15927"	"LOC101928861"	0	0	0	0	0	0
"15928"	"LOC105375513"	10	5	7	0	5	5
"15929"	"LOC105375514"	3	1	1	0	1	0
"15930"	"LRGUK"	31	12	20	12	23	11
"15931"	"SLC35B4"	5482	5228	4973	4702	5112	5077
"15932"	"LOC105375518"	5	1	11	2	9	11
"15933"	"LOC105375517"	101	92	123	65	50	62
"15934"	"LINC03060"	709	661	654	514	405	451
"15935"	"AKR1B1"	70919	73680	74724	82563	83590	84452
"15936"	"AKR1B10"	242150	237922	244620	180199	190107	202393
"15937"	"LOC105375520"	229	206	230	228	234	279
"15938"	"AKR1B15"	8771	10133	8826	6743	7622	7007
"15939"	"BPGM"	882	793	833	1649	1718	1771
"15940"	"LOC107986850"	0	0	0	0	0	0
"15941"	"CALD1"	8492	8075	7744	9124	9642	10168
"15942"	"AGBL3"	185	200	148	113	150	95
"15943"	"CYREN"	4421	4397	4382	4576	4716	4592
"15944"	"TMEM140"	921	896	862	898	926	924
"15945"	"WDR91"	453	435	396	723	724	860
"15946"	"MIR6509"	0	0	0	0	0	0
"15947"	"STRA8"	0	0	0	0	0	0
"15948"	"LOC107984123"	0	0	0	0	0	0
"15949"	"CNOT4"	895	949	870	1020	1060	1076
"15950"	"NUP205"	5223	4926	4721	4519	5152	5042
"15951"	"STMP1"	2410	2241	2464	2518	2567	2426
"15952"	"SLC13A4"	26	38	24	25	15	19
"15953"	"LOC105375521"	8	16	11	4	4	11
"15954"	"FAM180A"	0	0	0	0	1	0
"15955"	"LOC105375522"	0	0	0	0	0	0
"15956"	"LUZP6"	5311	5133	4924	5192	5481	5612
"15957"	"MTPN"	5311	5133	4924	5192	5481	5612
"15958"	"LOC105375523"	0	0	0	0	0	0
"15959"	"LOC105375524"	0	0	0	0	0	0
"15960"	"CHRM2"	0	0	0	0	0	0
"15961"	"LOC349160"	0	0	0	0	0	0
"15962"	"MIR490"	0	0	0	0	0	0
"15963"	"LOC105375525"	0	0	0	0	0	0
"15964"	"PTN"	2	0	0	4	4	4
"15965"	"LOC105375527"	0	0	0	0	0	0
"15966"	"DGKI"	0	4	3	14	10	8
"15967"	"CREB3L2"	3526	3169	3390	6590	6996	6891
"15968"	"CREB3L2-AS1"	0	0	0	1	1	0
"15969"	"AKR1D1"	6	8	0	7	2	1
"15970"	"MIR4468"	0	0	0	0	0	0
"15971"	"LOC107986749"	0	2	2	2	0	0
"15972"	"TRIM24"	3097	2816	2861	2168	2274	2384
"15973"	"SVOPL"	0	0	2	2	0	0
"15974"	"ATP6V0A4"	33	12	18	33	54	12
"15975"	"TMEM213"	0	0	0	0	0	0
"15976"	"KIAA1549"	2880	2838	2577	2621	2745	2725
"15977"	"ZC3HAV1L"	514	553	544	687	717	688
"15978"	"LOC107986852"	58	73	67	78	78	68
"15979"	"ZC3HAV1"	7166	6876	6451	6600	6736	6968
"15980"	"MIR10399"	162	166	188	135	126	131
"15981"	"TTC26"	779	727	710	824	799	932
"15982"	"UBN2"	1045	958	798	981	959	1131
"15983"	"LUC7L2"	2038	2024	1908	1770	1858	1868
"15984"	"FMC1"	213	225	251	220	231	249
"15985"	"TRR-CCT4-1"	1	0	0	2	3	2
"15986"	"FMC1-LUC7L2"	1887	1874	1800	1605	1670	1750
"15987"	"LOC100129148"	303	301	280	249	235	269
"15988"	"KLRG2"	91	90	89	34	41	17
"15989"	"CLEC2L"	0	0	2	0	3	2
"15990"	"HIPK2"	7253	6640	6110	5337	5810	5607
"15991"	"LOC105375530"	1	0	0	0	0	0
"15992"	"TBXAS1"	622	689	639	357	464	415
"15993"	"LOC107986853"	8	16	9	10	8	1
"15994"	"LOC105375532"	41	28	36	22	35	31
"15995"	"PARP12"	826	851	738	1101	1108	977
"15996"	"KDM7A"	349	262	237	635	687	667
"15997"	"KDM7A-DT"	165	181	215	230	238	186
"15998"	"LOC107986854"	0	0	0	0	0	0
"15999"	"LOC105375534"	1	2	0	0	6	4
"16000"	"SLC37A3"	1471	1480	1500	1576	1681	1727
"16001"	"RAB19"	0	0	0	0	0	0
"16002"	"MKRN1"	3695	3773	3652	3525	3561	3643
"16003"	"DENND2A"	16	27	16	23	22	10
"16004"	"LOC105375535"	0	0	0	0	0	0
"16005"	"LOC107986718"	0	0	4	0	0	0
"16006"	"ADCK2"	1210	1207	1179	1086	1169	1183
"16007"	"NDUFB2-AS1"	497	513	537	525	496	443
"16008"	"NDUFB2"	1751	1806	1915	1753	1584	1557
"16009"	"BRAF"	1076	969	933	1164	1148	1106
"16010"	"LOC105375536"	2	1	2	8	8	1
"16011"	"LOC107986720"	0	0	0	0	0	0
"16012"	"MRPS33"	1595	1721	1632	1519	1452	1637
"16013"	"LOC107986719"	0	0	0	0	0	0
"16014"	"LOC105375537"	0	0	0	0	0	0
"16015"	"TMEM178B"	123	112	104	102	120	110
"16016"	"AGK-DT"	1	0	2	0	2	3
"16017"	"AGK"	2881	2814	2793	2966	3052	3287
"16018"	"DENND11"	1935	1725	1741	1942	2015	2043
"16019"	"WEE2-AS1"	13	20	20	8	9	9
"16020"	"WEE2"	2	6	7	4	2	6
"16021"	"SSBP1"	4357	4340	4517	3568	3537	3777
"16022"	"TAS2R3"	2	1	0	0	0	2
"16023"	"TAS2R4"	9	5	0	1	2	3
"16024"	"TAS2R5"	16	20	11	11	4	10
"16025"	"PRSS37"	0	2	7	0	4	0
"16026"	"OR9A4"	0	0	0	0	0	0
"16027"	"CLEC5A"	0	0	0	0	0	0
"16028"	"TAS2R38"	0	0	0	0	0	0
